file,year,county,url
GIS,9999,,ftp://sdrftp03.dor.state.fl.us/Map Data/00 Mapping Data Information/AerialPhotographyContract.pdf
GIS,9999,,ftp://sdrftp03.dor.state.fl.us/Map Data/00 Mapping Data Information/AerialPhotographygrids.zip
GIS,9999,,ftp://sdrftp03.dor.state.fl.us/Map Data/00 Mapping Data Information/MapGuidelines.pdf
GIS,9999,,ftp://sdrftp03.dor.state.fl.us/Map Data/00 Mapping Data Information/Metadatafiles.zip
GIS,2011,Alachua,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/11 Alachua.zip
GIS,2011,Baker,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/12 Baker.zip
GIS,2011,Bay,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/13 Bay.zip
GIS,2011,Bradford,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/14 Bradford.zip
GIS,2011,Brevard,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/15 Brevard.zip
GIS,2011,Broward,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/16 Broward.zip
GIS,2011,Calhoun,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/17 Calhoun.zip
GIS,2011,Charlotte,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/18 Charlotte.zip
GIS,2011,Citrus,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/19 Citrus.zip
GIS,2011,Clay,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/20 Clay.zip
GIS,2011,Collier,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/21 Collier.zip
GIS,2011,Columbia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/22 Columbia.zip
GIS,2011,Miami-Dade,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/23 Dade.zip
GIS,2011,Desoto,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/24 Desoto.zip
GIS,2011,Dixie,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/25 Dixie.zip
GIS,2011,Duval,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/26 Duval.zip
GIS,2011,Escambia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/27 Escambia.zip
GIS,2011,Flagler,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/28 Flagler.zip
GIS,2011,Franklin,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/29 Franklin.zip
GIS,2011,Gadsden,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/30 Gadsden.zip
GIS,2011,Gilchrist,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/31 Gilchrist.zip
GIS,2011,Glades,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/32 Glades.zip
GIS,2011,Gulf,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/33 Gulf.zip
GIS,2011,Hamilton,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/34 Hamilton.zip
GIS,2011,Hardee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/35 Hardee.zip
GIS,2011,Hendry,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/36 Hendry.zip
GIS,2011,Hernando,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/37 Hernando.zip
GIS,2011,Highlands,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/38 Highlands.zip
GIS,2011,Hillsborough,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/39 Hillsborough.zip
GIS,2011,Holmes,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/40 Holmes.zip
GIS,2011,Indian River,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/41 Indian River.zip
GIS,2011,Jackson,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/42 Jackson.zip
GIS,2011,Jefferson,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/43 Jefferson.zip
GIS,2011,Lafayette,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/44 Lafayette.zip
GIS,2011,Lake,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/45 Lake.zip
GIS,2011,Lee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/46 Lee.zip
GIS,2011,Leon,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/47 Leon.zip
GIS,2011,Levy,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/48 Levy.zip
GIS,2011,Liberty,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/49 Liberty.zip
GIS,2011,Madison,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/50 Madison.zip
GIS,2011,Manatee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/51 Manatee.zip
GIS,2011,Marion,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/52 Marion.zip
GIS,2011,Martin,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/53 Martin.zip
GIS,2011,Monroe,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/54 Monroe.zip
GIS,2011,Nassau,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/55 Nassau.zip
GIS,2011,Okaloosa,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/56 Okaloosa.zip
GIS,2011,Okeechobee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/57 Okeechobee.zip
GIS,2011,Orange,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/58 Orange.zip
GIS,2011,Osceola,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/59 Osceola.zip
GIS,2011,Palm Beach,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/60 Palm Beach.zip
GIS,2011,Pasco,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/61 Pasco.zip
GIS,2011,Pinellas,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/62 Pinellas.zip
GIS,2011,Polk,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/63 Polk.zip
GIS,2011,Putnam,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/64 Putnam.zip
GIS,2011,St. Johns,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2011/65 St Johns.zip
