,PROC_NUM,PARCEL_NO,ADDRESS,DATE,CONST_COST,ADMIN_COST,CAT_CODE,UNITS_VAL,PED_ORIENTED,LAND USE,UNITS
1147,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,932-00,6637,0,High Turnover Rest.,sq. ft.
1289,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,220-00,-8,0,Apartment (Rentals),unit
172,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,820-00,-4437,0,Shopping Center/General Retail,sq. ft.
173,M2019008067-0,101020601160,920 924 NW 2 AVE,6/13/2019,190457.76,3809.16,820-00,-4437,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
174,M2019009631-0,101040601010,218 NW 8 ST,9/19/2019,0,0,820-00,6500.01,0,Shopping Center/General Retail,sq. ft.
175,M2019009631-0,101040601010,218 NW 8 ST,9/19/2019,0,0,820-00,6500.01,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1233,M2019009631-0,101040601010,218 NW 8 ST,9/19/2019,0,0,222-00,360,0,High-Rise Apart or Condo over 3 floors,unit
3852,M2019019814-0,101040701140,375 NW 7 ST,8/29/2019,28648.82,572.98,520-00,264,0,Elementary School (30 SF/St),student
1608,M2019019814-0,101040701140,375 NW 7 ST,8/29/2019,28648.82,572.98,210-00,-1,0,Single Family Detached,unit
883,M2019019814-0,101040701140,375 NW 7 ST,8/29/2019,28648.82,572.98,231-00,-2,0,Duplex,unit
1148,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,932-00,1280,0,High Turnover Rest.,sq. ft.
176,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,820-00,589,0,Shopping Center/General Retail,sq. ft.
177,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,820-00,589,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
46,M2018018854-0,101070101220,422 NW NORTH RIVER DR,6/19/2019,60621.33,1212.42,150-00,-1869,0,Warehousing,sq. ft.
571,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,710-00,49528,0,General Office Building,sq. ft.
572,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,710-00,49528,0,"General Office Building [1-50,000]",sq. ft.
3804,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,560-00,16537,0,Church/Synagogue,sq. ft.
178,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,3006,0,Shopping Center/General Retail,sq. ft.
179,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,3006,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
182,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,820-00,2491,0,Shopping Center/General Retail,sq. ft.
183,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,820-00,2491,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
569,M2019020320-0,101080001010,400 BISCAYNE BLVD,9/9/2019,31977.91,639.56,710-00,2237,0,General Office Building,sq. ft.
570,M2019020320-0,101080001010,400 BISCAYNE BLVD,9/9/2019,31977.91,639.56,710-00,2237,0,"General Office Building [1-50,000]",sq. ft.
3857,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,937-00,935,0,Coffee/Donut Shop,sq. ft.
1234,M2019010080-0,101080001010,400 BISCAYNE BLVD,7/30/2019,2270570.69,45411.42,222-00,646,0,High-Rise Apart or Condo over 3 floors,unit
180,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,-2491,0,Shopping Center/General Retail,sq. ft.
181,M2019020614-0,101080001010,400 BISCAYNE BLVD,10/29/2019,8899.45,177.99,820-00,-2491,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
